satellite?,body_name,body_mass,location_x,location_y,location_z,velocity_x,velocity_y,velocity_z
no,sun,2000000000000000000000000000000.00,0.00,0.00,0.00,0.00,0.00,0.00
no,mercury,328500000000000000000000.00,0.00,57000000000.00,0.00,47000.00,0.00,0.00
no,venus,4800000000000000000000000.00,0.00,110000000000.00,0.00,35000.00,0.00,0.00
no,earth,6000000000000000000000000.00,0.00,150000000000.00,0.00,30000.00,0.00,0.00
yes,mars,2400000000000000000000000.00,0.00,220000000000.00,0.00,24000.00,0.00,0.00
no,jupiter,10000000000000000000000000000.00,0.00,770000000000.00,0.00,13000.00,0.00,0.00
no,saturn,570000000000000000000000000.00,0.00,1400000000000.00,0.00,9000.00,0.00,0.00
no,uranus,87000000000000000000000000.00,0.00,2800000000000.00,0.00,6835.00,0.00,0.00
no,neptune,100000000000000000000000000.00,0.00,4500000000000.00,0.00,5477.00,0.00,0.00
no,pluto,13000000000000000000000.00,0.00,3700000000000.00,0.00,4748.00,0.00,0.00
