SOURCE,TARGET,VALIDATOR_TABLE,SOURCE_TYPE,TARGET_TYPE,ACTIVE,GENERATE_CRITERIA,MAPPED
BUYERS.csv,BUYERS.xlsx,LNDG_BUYERS,CSV,XLSX,YES,YES,YES
OWNERS.xlsx,OWNERS.json,LNDG_OWNERS,XLSX,JSON,YES,YES,NO
CUSTOMERS.xlsx,CUSTOMERS.csv,LNDG_CUSTOMERS,XLSX,CSV,YES,YES,NO
agency.json,LNDG_AGENCY,LNDG_AGENCY,JSON,DB,YES,YES,YES
subline.json,LNDG_SUBLINE,LNDG_SUBLINE,JSON,DB,YES,YES,YES
01_AreaOffice.xls,LNDG_TPON_AREA_OFFICE,LNDG_TPON_AREA_OFFICE,XLS,DB,YES,YES,NO
02_UpperTier.xls,LNDG_TPON_UPPER_TIER,LNDG_TPON_UPPER_TIER,XLS,DB,YES,YES,NO
03_LowerTier.xls,LNDG_TPON_LOWER_TIER,LNDG_TPON_LOWER_TIER,XLS,DB,YES,YES,NO
04_Address.xls,LNDG_TPON_ADDRESS,LNDG_TPON_ADDRESS,XLS,DB,YES,YES,NO
05_Agency.xls,LNDG_TPON_AGENCY,LNDG_TPON_AGENCY,XLS,DB,YES,YES,NO
06_Site.xls,LNDG_TPON_SITE,LNDG_TPON_SITE,XLS,DB,YES,YES,NO
07_Contact.xls,LNDG_TPON_CONTACT,LNDG_TPON_CONTACT,XLS,DB,YES,YES,NO
08_Subline.xls,LNDG_TPON_SUBLINE,LNDG_TPON_SUBLINE,XLS,DB,YES,YES,NO
09_DetailCode.xls,LNDG_TPON_DETAIL_CODE,LNDG_TPON_DETAIL_CODE,XLS,DB,YES,YES,NO
10_ServiceDetailData.xls,LNDG_TPON_SERVICE_DETAIL_DATA,LNDG_TPON_SERVICE_DETAIL_DATA,XLS,DB,YES,YES,NO
OWNERS.json,LNDG_OWNERS,LNDG_OWNERS,JSON,DB,NO,YES,NO
